instruction,context,response,category
"Classify the following as either dark-colored beers or light colored beers: porter, pilsner, stout, amber, lager",,"Dark-colored beers: porter, stout, amber
Light-colored beers: pilsner, lager",classification
Give me a bulleted list of the 5 highest mountains in the world and their respective heights in meters,,"* Mount Everest. Height: 8,849 meters
* K2. Height: 8,611 meters
* Kangchenjunga. Height: 8,586 meters
* Lhotse. Height: 8,516 meters
* Makalu. Height: 8,485 meters",brainstorming
Extract all of the dates mentioned in this paragraph and list them using bullets in the format {Date} - {Description},"Daniel Leavitt was born November 16, 1813, at Rye, New Hampshire, the son of Benning Leavitt, influential businessman, state senator, county commissioner and later Chicopee Selectman, and his wife Olive (Jenness) Leavitt. Daniel Leavitt married in 1838 at West Springfield, Massachusetts, Ruth Jeannette Ball. They had three children.","• November 16, 1813 - This is when Daniel Leavitt was born
• 1838 - This is when Daniel Leavitt married his wife Ruth Jeannette Ball.",information_extraction
Which products apple sell?,,"Apple sells variety of products. including watches, phones, laptops and computers.",general_qa
Write a short story about a person who discovers a hidden room in their house. The story should include a plot twist and a clear resolution at the end.,,"It was going to be a long day.  With her brother-in-law out of town, Lisa had agreed to watch her niece Stella for the afternoon and the little girl was known to be a bit of a handful. Her plan had been to spend the afternoon at the park to let Stella run and climb, to wear her out a bit.  Unfortunately, this outing was foiled by the constant downpour of rain so Lisa resigned herself to a day inside with the tiny tyrant. Stella arrived early and excited to play.  Lisa decided to begin with a game of hide and seek, after all this could take up a good part of the morning without too much trouble.  Stella ran off to hide and Lisa sat quietly drinking coffee while calling out to the little girl, pretending to seek. Eventually she set off to find the little girl but soon she realized that something was wrong.  No matter where she looked, Stella was nowhere to be found. The house wasn't that large, making her disappearance even more perplexing.  Lisa had only recently moved into the home that she bought from her great aunt shortly before her death and she hasn't even moved out all of the existing furniture. Maybe Stella had gotten stuck somewhere behind the large wardrobe in the bedroom or she had climbed up into a cupboard in the laundry room.  Panic was starting to settle in as she moved the wardrobe further from the wall, where only a small child could have hidden before.  Suddenly, saw a small crack in the wall, and then realized it was a small door that she never knew was there.  The door was slightly ajar and she eventually moved the wardrobe enough to open the door and climb inside. What was this place?  The entrance opened up to reveal a small room that Lisa never knew existed!  It was full of treasure, gold bars and jewels.  Stella sat in the middle of the room quietly playing with the treasure, unaware of the immense value she was surrounded by.  Lisa had known her aunt was a secretive woman but this was an incredible find and would change her life forever.  Stella's visit was the good luck charm she needed to unlock this bounty and she would be forever grateful to the little girl!  Time to call her brother-in-law to thank him for letting Stella visit.",creative_writing
Please describe  what is oil and give me a list of it’s applications.,"An oil is any nonpolar chemical substance that is composed primarily of hydrocarbons and is hydrophobic (does not mix with water) & lipophilic (mixes with other oils). Oils are usually flammable and surface active. Most oils are unsaturated lipids that are liquid at room temperature.

The general definition of oil includes classes of chemical compounds that may be otherwise unrelated in structure, properties, and uses. Oils may be animal, vegetable, or petrochemical in origin, and may be volatile or non-volatile. They are used for food (e.g., olive oil), fuel (e.g., heating oil), medical purposes (e.g., mineral oil), lubrication (e.g. motor oil), and the manufacture of many types of paints, plastics, and other materials. Specially prepared oils are used in some religious ceremonies and rituals as purifying agents.","An oil is a chemical substance that is composed primarily of hydrocarbons and may be animal, vegetable or petrochemical in origin.
Oil is used in a wide range of applications and is essential to everyday human life. These are:
Cooking - edible vegetable and animal oils are used for various purposes in cooking and food preparation
Cosmetics - most facial cleansers, lotions and hair care products contain molecules that come from mineral and vegetable oils
Fuel - crude oil is refined and converted to diesel, gasoline or jet fuel to power cars, trucks and planes
Heating - petrochemical oil is used for heating
Painting - oil is used as a supporting medium for paints
Lubrication - oils are used in various engineering purposes as they do not easily adhere to other substance which makes them useful as lubricants
Religion - oil has been used throughout history as a religious medium. It is often considered a spiritually purifying agent and is used to anointing purposes
Health - oils holds lots of fats and medical properties, for example fish oil holds the omega-3 fatty acid which helps with inflammation and reduces fat in the bloodstream",summarization
List 6 different types of rain in Seattle,,"1. Mist
2. Drizzle
3. Sleet
4. Downpour
5. Freezing Rain
6. Sun Shower",brainstorming
What is investment banking?,,"Investment banking pertains to certain activities of a financial services company or a corporate division that consist in advisory-based financial transactions on behalf of individuals, corporations, and governments. Traditionally associated with corporate finance, such a bank might assist in raising financial capital by underwriting or acting as the client's agent in the issuance of debt or equity securities. An investment bank may also assist companies involved in mergers and acquisitions (M&A) and provide ancillary services such as market making, trading of derivatives and equity securities, FICC services (fixed income instruments, currencies, and commodities) or research (macroeconomic, credit or equity research). Most investment banks maintain prime brokerage and asset management departments in conjunction with their investment research businesses. As an industry, it is broken up into the Bulge Bracket (upper tier), Middle Market (mid-level businesses), and boutique market (specialized businesses).

Unlike commercial banks and retail banks, investment banks do not take deposits.",open_qa
I started a new company named Greystone Inc. What do we do?,,#NAME?,brainstorming
Tell me whether or not these foods are on EWG's dirty dozen list,,"avocados, kiwi, pairs, blueberries, green beans, kale, cabbage",classification
How much music theory knowledge is required to compose music?,,"Technically speaking, very little music theory knowledge is “required” to compose music. Music theory is, essentially, what musicians have learned over the course of several hundred years about how to write music that is interesting and sounds good. In other words, music theory is there to help you, not hold you back. 

When you learn music theory, what often happens is that you expand your broader understanding of music, which can be a very helpful safety net. The more music theory you know, the easier you’ll be able to distinguish between the good ideas and the not-so-good. You need to know the rules before you can break them. You need to be able to write by the book before you throw the book away. If not, you run the risk of writing music that’s not nearly as clever as you think it is, that tries to be daring and experimental but ends up just being dull and vanilla. And frankly, I just don’t see the value in ignoring all the work that centuries worth of musicians have done into knowing how music works. Putting the time into learning and really understanding it can only make you a better musician and a better composer.

So, that’s my answer. Learn at least as much theory as you need to know to understand the rules you want to break.",general_qa
"Categorize each of the following instruments as either string or keyboard: Guitar, Violin, piano, harmonium, cello, accordion, banjo",,"Guitar - String
Violin - String
piano - keyboard
harmonium - keyboard
cello - string
accordion - keyboard
banjo - string",classification
Summarize in one sentence this article about a famous song.,"""I'm an Old Cowhand (From the Rio Grande)"" is a comic song written by Johnny Mercer for the Paramount Pictures release Rhythm on the Range and sung by its star, Bing Crosby. The Crosby commercial recording was made on July 17, 1936, with Jimmy Dorsey & his Orchestra for Decca Records. It was a huge hit in 1936, reaching the No. 2 spot in the charts of the day, and it greatly furthered Mercer's career. Crosby recorded the song again in 1954 for his album Bing: A Musical Autobiography.
Members of the Western Writers of America chose it as one of the Top 100 Western songs of all time.

Background
Mercer and his wife were driving across the US en route to his hometown, Savannah, Georgia, after having apparently failed to succeed in Hollywood. Mercer was amused by the sight of cowboys, with spurs and ten-gallon hats, driving cars and trucks instead of riding horses. Singing cowboys were popular in films and on the radio then, and within 15 minutes, writing on the back of an envelope, Mercer transferred the image he was seeing into a song whose satirical lyrics vented some of his own bitter frustration with Hollywood.

The lyrics, about a 20th-century cowboy who has little in common with the cowpunchers of old, have been included in some anthologies of light verse.","I'm an Old Cowhand (From the Rio Grande), written by Johnny Mercer and recorded by Bing Crosby, is popular song from 1936 that satirizes cowboy culture of the time.",summarization
What is the Maareech Advanced Torpedo Defence System (ATDS)?,"Maareech Advanced Torpedo Defence System (ATDS) is a torpedo detection and countermeasure system used by the Indian Navy. The system offers a complete solution to detect and locate an incoming torpedo and to apply countermeasures to protect naval platform against torpedo attack. It was developed as a joint project of the Naval Physical and Oceanographic Laboratory (NPOL), Kochi and the Naval Science and Technological Laboratory (NSTL), Visakhapatnam. Bharat Electronics is manufacturing it India.",The Maareech Advanced Torpedo Defence System (ATDS is a torpedo detection and countermeasure system used by the Indian Navy.,information_extraction
Change the following passage to past tense,"The episode focuses on two people: an elderly hospital doctor (Aleksander Bardini), who lives by himself in the ubiquitous Dekalog apartment block; and Dorota Geller (Krystyna Janda), a woman in her 30s who lives in the same building and is a violinist with the Philharmonic Orchestra.","The episode focused on two people: an elderly hospital doctor (Aleksander Bardini), who lived by himself in the ubiquitous Dekalog apartment block; and Dorota Geller (Krystyna Janda), a woman in her 30s who lived in the same building and was a violinist with the Philharmonic Orchestra.",information_extraction
What is the tallest mountain in the continental US?,,"Mt. Whitney, which is 14500 ft,  is the tallest mountain in the continental US. Although if we were to include the state of Alaska, then the tallest mountain is actually Mt Denali, which is 20,320 ft. Mt. Whitney is actually only the 17th tallest mountain in all of the US, where the tallest 1-16 are all mountains in Alaska.",general_qa
Who is Shoji Hashimoto?,"Shoji Hashimoto (橋本 昌二, Hashimoto Shōji, April 18, 1935 – December 2, 2009) was a professional Go player.","Shoji Hashimoto (橋本 昌二, Hashimoto Shōji, April 18, 1935 – December 2, 2009) was a professional Go player.
Hashimoto turned pro in 1947 when he was just 12. It took him only 11 years to reach 9p. He learned Go from his father Hashimoto Kunisaburō and his disciples include Takahara Shūji, Moriyama Naoki, Oda Hiromitsu, Okahashi Hirotada, and Hayashi Kōzō. He was a member of the Kansai Ki-in.",information_extraction
What are some of the best comedy movies of the 1980's?,,"Some of the best movies released in the 1980's are The Breakfast Club, The Goonies, Sixteen Candles, Ghostbusters and Back to the Future.",open_qa
In golf what do the Americans call an albatross,,Double Eagle,open_qa
What are common ingredients of a full english breakfast?,,"Bacon, eggs, sausages, beans, toast, mushrooms, tomatoes. Some people also include black pudding and hash browns.
Eggs are commonly fried or scrambled.",classification
"Plan for a three day road trip for May long weekend from Westfield, New Jersey",,"May 26: Drive to Montreal from Westfield, NJ. Time taken  6 hrs. Stay there overnight
May 27:  have a quick breakfast..checkout and drive to Mount Tremblant. Time: 90 minutes
May 27: Hike Grand Brule ( red path) on the way up and green path on the way down
May 27: Stroll around the Tremblant village
May 28: Drive to Quebec City. Time taken: 4 hrs
May 28: Explore the city, aquarium and go for wildlife watching
May 29: Drive to Montreal. Spend time exploring the city
May 30: Drive back to Westfield, New Jersey",creative_writing
How do you operate a car with a manual transmission?,,"Through a combination of a shifter and three pedals: gas, brake, and clutch. Press down the clutch pedal with one foot, and the brake with your other foot first and then turn on the engine of the car. It is recommended to shift to neutral immediately after turning on your car and prior to departing. To shift between one of the engaged gears, typically marked 1, 2, 3, 4, 5 N (for neutral) and R (for reverse), press down on the clutch all the way to the floor and move the shifter to the desired location. Once the car is on and you're in neutral if you want to move forward, press and hold the clutch pedal to the floor and move the shifter to the ""1"" position. Slowly disengage the clutch pedal partially, and while disengaging slowly start to press down on the gas pedal. After gradually pressing more on the gas pedal, slowly remove your foot from the clutch entirely. This will start you in forward motion, and you will be restricted to the speed limit of 1st gear. You can track this limit through the RPM (revolutions per minute) gauge on the dashboard of your car. Typically you want to keep the RPMs between 1500-4000. If the RPMs start to decrease to 1500-2000 that is a sign you want to shift from a higher gear to a lower gear (i.e. 2nd gear to 1st gear), and as the RPMs increase to 4000, that is an indication you want to shift to a higher gear (i.e. 2nd gear to 3rd gear).",general_qa
What is the Research Collaboratory for Structural Bioinformatics Protein Data Bank (RCSB PDB)?,,"The Research Collaboratory for Structural Bioinformatics Protein Data Bank (RCSB PDB) is a database that provides a wealth of information about the 3D structures of proteins, nucleic acids, and other macromolecules. The database contains experimentally determined atomic coordinates for a large number of macromolecules, which can be used to study their structures, functions, and interactions. The RCSB PDB is widely used in genomics research and drug discovery, as it provides a valuable resource for understanding the structural basis of many biological processes and for designing new drugs that target specific macromolecules.

In addition to the atomic coordinates, the RCSB PDB contains a wealth of additional information about each macromolecule, including experimental methods used for structure determination, citations to relevant scientific literature, and information about biological function, sequence, and homology. The database also provides a variety of tools and resources for visualizing, analyzing, and downloading structural data, including a web-based viewer that allows users to interactively explore the 3D structures of macromolecules.",open_qa
What are 5 potential uses for an empty La Croix can?,,"1. Make your bike sound like it has an engine by wrapping the can around the back tire.
2. A percussion instrument to play along with friends in a jam session.  You could just crinkle it, hit it with a pen, or fill it with sand or debris and shake it.  
3. A baking tool.  You can used the bottom of the can to stamp out perfectly circle, uniform cookies from a rolled-out sheet of cookie dough.
4. A field razor.  Tear the can carefully to create an effective cutting device for emergency use.
5. A make shift ball to throw around with friends at the park. An empty can could be a fun projectile to use in a friendly game of 3 Flies Up.",brainstorming
"What is the name of the Winslow's nerdy next-door neighbor on the TV show ""Family Matters""?",,Steve Urkel,open_qa
Why are so many US Hollywood films made in the state of Georgia?,,"While film in the United States as an audience artform started in New York it moved to Los Angeles for the stated reason of longer and sunnier days.  Another part of the story was a patent dispute in 1898 between Thomas Edison and his patent for the Kinetograph.  Edison stated that he effectively had a say in how films were made and wanted royalties for their use.  Moving from New York near where Edison was based to Los Angeles was a simple way to grow the industry and distance themselves from a patent war.  

This mobility at the start of the modern film era due to costs continued through the 1960's and 1970's with westerns being shot in Spain.  The 1980's and 1990's continued this trend primarily shooting in Canada or Mexico.  At the turn of the century state legislators in the United States started provided steep tax rebates.  The practical outworking of this is studios are encouraged to hire local talent and use local services when producing their film.  The ratios for these rebates is fairly complicated and have created a new industry of tax professionals serving the film industry.

So then why Georgia?  Georgia currently provides one of the highest incentive structures at 20% with minimal restrictions on talent and a very low minimum budget of $500,000.",open_qa
How many managers have Arsenal had?,"There have been twenty permanent and eight caretaker managers of Arsenal since 1897; Stewart Houston has managed the club in two separate spells as caretaker. The most successful person to manage Arsenal is Arsène Wenger, who won three Premier League titles, seven FA Cups and seven Community Shields between 1996 and 2018. Wenger is the club's longest-serving manager; he surpassed George Allison's record of 13 years in October 2009. Two Arsenal managers have died in the job – Herbert Chapman and Tom Whittaker.",Arsenal have had twenty permanent and eight caretake managers.,closed_qa
What is SVM?,"In machine learning, support vector machines (SVMs, also support vector networks) are supervised learning models with associated learning algorithms that analyze data for classification and regression analysis. Developed at AT&T Bell Laboratories by Vladimir Vapnik with colleagues (Boser et al., 1992, Guyon et al., 1993, Cortes and Vapnik, 1995, Vapnik et al., 1997[citation needed]) SVMs are one of the most robust prediction methods, being based on statistical learning frameworks or VC theory proposed by Vapnik (1982, 1995) and Chervonenkis (1974). Given a set of training examples, each marked as belonging to one of two categories, an SVM training algorithm builds a model that assigns new examples to one category or the other, making it a non-probabilistic binary linear classifier (although methods such as Platt scaling exist to use SVM in a probabilistic classification setting). SVM maps training examples to points in space so as to maximise the width of the gap between the two categories. New examples are then mapped into that same space and predicted to belong to a category based on which side of the gap they fall.

In addition to performing linear classification, SVMs can efficiently perform a non-linear classification using what is called the kernel trick, implicitly mapping their inputs into high-dimensional feature spaces.

The support vector clustering algorithm, created by Hava Siegelmann and Vladimir Vapnik, applies the statistics of support vectors, developed in the support vector machines algorithm, to categorize unlabeled data.[citation needed] These data sets require unsupervised learning approaches, which attempt to find natural clustering of the data to groups and, then, to map new data according to these clusters.","SVM stands for """"support vector machine"". It is a machine learning model for supervised learning tasks. It was popular in the 1990s and early 2000s, before deep learning take off. The classic use case is binary classification, but its extension can also do multi-label classification as we as regression. Kernel methods greatly enhanced SVM's capability to perform non-linear machine learning tasks.",closed_qa
What is the current capital of Japan?,"Tokyo (/ˈtoʊkioʊ/; Japanese: 東京, Tōkyō, [toːkʲoː] (listen)), officially the Tokyo Metropolis (東京都, Tōkyō-to), is the capital and most populous city of Japan. Formerly known as Edo, its metropolitan area (13,452 square kilometers or 5,194 square miles) is the most populous in the world, with an estimated 37.468 million residents as of 2018; the city proper has a population of 13.99 million people. Located at the head of Tokyo Bay, the prefecture forms part of the Kantō region on the central coast of Honshu, Japan's largest island. Tokyo serves as Japan's economic center and is the seat of both the Japanese government and the Emperor of Japan.",Tokyo is the current capital of Japan.,information_extraction
What are some tools that every homeowner should have?,,"There is a tool designed for almost every challenge a homeowner will face, but purchasing every tool could prove to be cost prohibitive, especially if they are highly specialized for tasks that may occur infrequently.  It's best to have a general set of tools that have a wide variety of uses, including a hammer, a set of screwdrivers both flat and philips, a tape measure, a level, a stud finder, and a utility knife. A battery powered drill and impact driver can also save time, and make mounting projects easier.",open_qa
What is an apple?,,An apple is an edible fruit produced by an apple tree. Apple trees are cultivated worldwide and are the most widely grown species in the genus Malus.,open_qa
write a short essay on California wild fire,,"California is known for its hot, dry summers, which increase the risk of wildfires. Every year, the state experiences dozens of fires, which can be devastating to both the environment and people's homes and businesses.

In recent years, California has seen some of the worst wildfires in its history, with tens of thousands of acres of land destroyed and hundreds of homes lost. These fires are often started by a combination of high temperatures, dry conditions, and strong winds, which can quickly spread flames and make them difficult to control.

The effects of these fires are felt not just by those directly impacted, but by everyone in the state. Smoke and ash from the fires can cause respiratory problems and other health issues, and the destruction of habitats can harm wildlife populations and disrupt entire ecosystems.

Despite the challenges, California has made significant progress in fighting wildfires in recent years. The state has invested in new technologies and equipment to help firefighters respond more quickly and effectively to fires, and has increased efforts to prevent fires from starting in the first place.

While wildfires will likely always be a risk in California, the state's proactive approach to managing them gives hope that we can continue to protect people, wildlife, and the environment from their devastating effects.",creative_writing
Tell me about the 2017 Southeastern Conference football season,"The 2017 Southeastern Conference football season was the 85th season of SEC football and took place during the 2017 NCAA Division I FBS football season. The season began on August 31 and will end with the 2017 SEC Championship Game on December 2. The SEC is a Power Five conference under the College Football Playoff format along with the Atlantic Coast Conference, the Big 12 Conference, the Big Ten Conference, and the Pac–12 Conference. For the 2017 season, the SEC has 14 teams divided into two divisions of seven each, named East and West.",The 2017 Southeastern Conference football season was the 85th season of SEC football and took place during the 2017 NCAA Division I FBS football season. The season began on August 31 and will end with the 2017 SEC Championship Game on December 2.,summarization
Who scored first in Austin FC's first victory in a home game in the 2021 MLS season?,"Austin FC played their first MLS match against LAFC at Banc of California Stadium on April 17, 2021, losing 0–2. The club secured its first victory the following week against the Colorado Rapids, winning 3–1. Diego Fagúndez scored the club's first goal and the following two were scored by the club's first Designated Player, Cecilio Dominguez. Their home opener was held on June 19, 2021, against the San Jose Earthquakes, a match which ended in a scoreless draw. The team secured its first ever home victory on July 1, 2021, defeating the Portland Timbers 4–1. Jon Gallagher scored the team's first home goal and the first MLS goal at Q2 Stadium.","Jon Gallagher scored the first goal in Austin FC's first win at home, over the Portland Timbers.",closed_qa
"Classify each of the following as either a bird, animal, reptile or insect: tiger, heron, eagle, alligator, snake, spider, ant, dog, cat, rhinoceros, kingfisher, chameleon, hornet, butterfly",,"mammal- tiger, rhinoceros, dog, cat
bird- heron, kingfisher, eagle
reptile- snake, alligator, chameleon
inset- spider, ant, hornet, butterfly",classification
What are some different things you should bring with you on a day hiking trip?,,"You should bring water, a snack, sunscreen, hiking boots, a first aid kit and a cellphone",brainstorming
How long does it take for a mustard seed to germinate?,"Mustard seeds are the small round seeds of various mustard plants. The seeds are usually about 1 to 2 millimetres (0.039 to 0.079 in) in diameter and may be colored from yellowish white to black. They are an important spice in many regional foods and may come from one of three different plants: black mustard (Brassica nigra), brown mustard (B. juncea), or white mustard (Sinapis alba).

Grinding and mixing the seeds with water, vinegar or other liquids creates the yellow condiment known as prepared mustard.

Mustard seeds generally take eight to ten days to germinate if placed under the proper conditions, which include a cold atmosphere and relatively moist soil.","Mustard seeds generally take eight to ten days to germinate if placed under the proper conditions, which include a cold atmosphere and relatively moist soil.",closed_qa
Which is a species of fish? Sea dragon or Red bearded,,Sea dragon,classification
"Categorize where each of these household items belong: bed, couch, desk",,"A bed belongs in a bedroom, a couch belongs in a living area, a desk belongs in an office",classification
"Separate the following suburbs into those that border, and do not border, the Brisbane River: Indooroopilly, Bulimba, St Lucia, Newstead, Wilston, West End, Toowong, Bowen Hills and, Wooloongabba.",,"St Lucia, West End, Toowong, Bulimba and Newstead border the Brisbane River. Wilston, Wooloongabba, Indooroopilly and Bowen Hills are inland and do not border the Brisbane River.",classification
What are AirPods?,,Air Pods are an in ear headphone product made and sold by Apple. Their unique market differentiators are a software simulated spatial audio system and noise canceling features.,general_qa
What is the difference between pets and cattle?,,"Although both are animals at the end of the day, however, the main difference comes partially in the form of perception and, historically, the relationship of humans with certain animals. Pets, e.g. dogs, cats, etc., are used more for companionship and not for food. On the contrary, cattle, e.g. cows, pigs, chickens, etc., are primarily raised for food, i.e. meat, milk, eggs, etc.",open_qa
How do I put a bouquet of fresh flowers in a vase?,,"In order to put fresh flowers in a vase, follow these steps:

1. Find a vase that it is the right size for the flowers. You can use water glasses here in a pinch. 
2. Fill the vase to about two-thirds full with water. You can add a dash of bleach in the water as well, but it is not necessary. 
3. Now, trim your flowers to the size of the vase. Cut the end of each flower in a diagonal cut. 
4. Remove the leaves from the flowers. This will help to grow the flower without putting resources towards the leaves. Be sure to remove any leaves under the water line, since they can cause infections. 
5. Arrange the flowers in the vase. You can adjust the positions until you are happy with the arrangement.
6. Place your vase in a shady spot and you're done!",open_qa
What should I do on a free afternoon in San Francisco?,,"You can visit and take photos at San Francisco's landmarks such as Pier 39 or Golden Gate Bridge. If you enjoy walking outdoors, there are several large parks in the city. You can visit Golden Gate Park and the various attractions and museums located in the park. The Presidio is also a popular park where you can get some of the best views of Golden Gate Bridge.",creative_writing
"Identify which instrument is string or woodwind: Janzi, Gemshorn",,"Gemshorn is woodwind, Janzi is string.",classification
"Identify which animal species is alive or extinct: Pliosaur, Marine Iguana",,"Pliosaur is extinct, Marine Iguana is alive.",classification
What is the origin of the name of the herb Rosemary?,"alvia rosmarinus (/ˈsælviə ˌrɒsməˈraɪnəs/), commonly known as rosemary, is a shrub with fragrant, evergreen, needle-like leaves and white, pink, purple, or blue flowers, native to the Mediterranean region. Until 2017, it was known by the scientific name Rosmarinus officinalis (/ˌrɒsməˈraɪnəs əˌfɪsɪˈneɪlɪs/), now a synonym.

It is a member of the sage family Lamiaceae, which includes many other medicinal and culinary herbs. The name """"rosemary"""" derives from Latin ros marinus (lit. 'dew of the sea'). Rosemary has a fibrous root system","The name ""rosemary"" derives from Latin ros marinus.",closed_qa
"Classify each of the following as either a title by Isaac Asimov or Jules Verne: Pebble in the Sky, The Stars, Like Dust, Foundation, The Robots of Dawn, The Naked Sun, Around the World in Eighty Days, From the Earth to the Moon, Martin Paz, Journey to the Centre of the Earth, A Drama in the Air",,"Isaac Asimov: Pebble in the Sky, The Stars, Like Dust, Foundation, The Robots of Dawn, The Naked Sun
Jules Verne: Around the World in Eighty Days, From the Earth to the Moon, Martin Paz, Journey to the Centre of the Earth, A Drama in the Air",classification
Wat id DNA annotation?,,"DNA annotation or genome annotation is the process of identifying the locations of genes and all of the coding regions in a genome and determining what those genes do. An annotation (irrespective of the context) is a note added by way of explanation or commentary. Once a genome is sequenced, it needs to be annotated to make sense of it. Genes in a eukaryotic genome can be annotated using various annotation tools such as FINDER. A modern annotation pipeline can support a user-friendly web interface and software containerization such as MOSGA. Modern annotation pipelines for prokaryotic genomes are Bakta, Prokka and PGAP.

For DNA annotation, a previously unknown sequence representation of genetic material is enriched with information relating genomic position to intron-exon boundaries, regulatory sequences, repeats, gene names and protein products. This annotation is stored in genomic databases such as Mouse Genome Informatics, FlyBase, and WormBase. Educational materials on some aspects of biological annotation from the 2006 Gene Ontology annotation camp and similar events are available at the Gene Ontology website.

The National Center for Biomedical Ontology develops tools for automated annotation of database records based on the textual descriptions of those records.

As a general method, dcGO has an automated procedure for statistically inferring associations between ontology terms and protein domains or combinations of domains from the existing gene/protein-level annotations.",open_qa
Who were Jaehaerys I Targaryen's children?,,"Prince Aegon, Princess Daenerys, Prince Aemon, Prince Baelon, Princess Alyssa, Septa Maegelle, Archmaester Vaegon, Princess Daella, Princess Saera, Princess Viserra, Prince Gaemon, Prince Valerion, Princess Gael",open_qa
"In SQL, how can I filter table rows based on a column condition?",,SELECT <columns> FROM <table> WHERE <column> == <condition>,general_qa
Who were the ten best baseball players in the history of the Boston Red Sox?,,"1. David Ortiz
2. Ted Williams
3. Babe Ruth
4. Cy Young
5. Pedro Martinez
6. Johnny Pesky
7. Carl Yazstrzemski 
8. Carlton Fisk
9. Joe Cronin
10. Mookie Betts",brainstorming
What makes the world go around?,,"Some say money makes the world go around, others say it is love. It has even been suggested that music is the fuel that makes the world go around. These explanations are however based on human spirituality and needs. As far as other living creatures are concerned, the drive to survive is what makes the world go around. In reality the world physically started going around itself, rotating around its axis, because of the way it was formed.",general_qa
"Who coined the phrase ""Bike-shedding"" and when?","The law of triviality is C. Northcote Parkinson's 1957 argument that people within an organization commonly or typically give disproportionate weight to trivial issues. Parkinson provides the example of a fictional committee whose job was to approve the plans for a nuclear power plant spending the majority of its time on discussions about relatively minor but easy-to-grasp issues, such as what materials to use for the staff bicycle shed, while neglecting the proposed design of the plant itself, which is far more important and a far more difficult and complex task.

The law has been applied to software development and other activities. The terms bicycle-shed effect, bike-shed effect, and bike-shedding were coined based on Parkinson's example; it was popularised in the Berkeley Software Distribution community by the Danish software developer Poul-Henning Kamp in 1999 and, due to that, has since become popular within the field of software development generally.

Argument

A bicycle shed
The concept was first presented as a corollary of his broader ""Parkinson's law"" spoof of management. He dramatizes this ""law of triviality"" with the example of a committee's deliberations on an atomic reactor, contrasting it to deliberations on a bicycle shed. As he put it: ""The time spent on any item of the agenda will be in inverse proportion to the sum [of money] involved."" A reactor is so vastly expensive and complicated that an average person cannot understand it (see ambiguity aversion), so one assumes that those who work on it understand it. However, everyone can visualize a cheap, simple bicycle shed, so planning one can result in endless discussions because everyone involved wants to implement their own proposal and demonstrate personal contribution.

After a suggestion of building something new for the community, like a bike shed, problems arise when everyone involved argues about the details. This is a metaphor indicating that it is not necessary to argue about every little feature based simply on having the knowledge to do so. Some people have commented that the amount of noise generated by a change is inversely proportional to the complexity of the change.

The law of triviality is supported by behavioural research. People tend to spend more time on small decisions than they should, and less time on big decisions than they should. A simple explanation is that during the process of making a decision, one has to assess whether enough information has been collected to make the decision. If people make mistakes about whether they have enough information, they will tend to stop too early for big decisions. The reason is that big decisions require collecting information for a long time. It leaves more time to make a mistake (and stop) before getting enough information. Conversely, for small decisions, where people should stop early, they may continue to ponder for too long by mistake.

Related principles and formulations 
There are several other principles, well-known in specific problem domains, which express a similar sentiment.

Wadler's law, named for computer scientist Philip Wadler, is a principle which asserts that the bulk of discussion on programming-language design centers on syntax (which, for purposes of the argument, is considered a solved problem), as opposed to semantics.

Sayre's law is a more general principle, which holds (among other formulations) that ""In any dispute, the intensity of feeling is inversely proportional to the value of the issues at stake""; many formulations of the principle focus on academia.","The phrase ""bike-shedding"" was introduced in 1957 by C. Northcote Parkinson.",closed_qa
Who is the best Formula 1 driver,,"Who is the best Formula 1 driver has been a hotly debated topic for decades with no decisive winner.  Over the years there have been many dominant drivers such as Michael Schumacher, Ayrton Senna and Lewis Hamilton, however who is ultimately the best is difficult to determine.  Formula 1 cars are such a critical part of who wins or loses a race that distorts who is truly the strongest driver. The question of who is the best Formula 1 driver will undoubtedly continue on with each new generation of drivers that enter the sport, however clearly Ayrton Senna is the best.",general_qa
What is Share capital in finance?,,Share capital is the money invested directly in a company by its members (shareholders).,open_qa
Give me some Mother's Day gift ideas.,,The choice of Mother's Day gift depends on who the gift-giver is. An adult child or spouse might opt flowers or jewelry. A young child may opt for a hand-made card or a coupon to do a household chore (e.g. clean the dishes). A collective gift from multiple family members could be breakfast in bed or a gift certificate for a spa treatment.,general_qa
Give me a list of ways that a runner can advance a base in baseball without there being a hit.,,#NAME?,brainstorming
What are the types of RVs?,,"RV is an abbreviation for Recreational Vehicle. An RV is a motor vehicle or trailer that includes sleeping quarters, kitchen facilities and usually a bathroom. RVs are a popular way to travel since they provide many of the comforts of home while vacationing. There are many types of RVs, including class A, class B, class C,travel trailers, and truck campers..

Class A RVs are large vehicles built on heavy-duty truck or bus chassis and look like large Busses. Class B RVs smaller are built within van chassis (often called camper vans). Class C RVs are built on van or pickup chassis but the back is cutaway and a larger structure is added. Travel trailers are campers that are towed behind a truck or car and can range in size from very small to very large. Truck campers are carried in the bed of a pickup truck and provide a small, enclosed sleeping space.

RVs are very popular in the United States, with an estimated 11M households owning an RV.",general_qa
